Fund_Name,Month,Date,NAV,Monthly_Return,Monthly_Return_Percent
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2023-12,2023-12-29,473.95,0.07318343409641548,7.318343409641548
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2024-01,2024-01-31,478.44,0.009473573161725923,0.9473573161725923
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2024-02,2024-02-29,488.53,0.021089373798177435,2.1089373798177435
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2024-03,2024-03-31,495.9,0.015086074550181072,1.5086074550181072
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2024-04,2024-04-30,506.52,0.021415607985481033,2.1415607985481033
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2024-05,2024-05-31,511.13,0.009101318802811287,0.9101318802811287
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2024-06,2024-06-28,548.95,0.07399291765304339,7.399291765304339
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2024-07,2024-07-31,574.88,0.047235631660442534,4.723563166044253
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2024-08,2024-08-30,582.88,0.013915947676036655,1.3915947676036655
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2024-09,2024-09-30,597.73,0.025476942080702836,2.5476942080702836
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2024-10,2024-10-31,561.31,-0.060930520469108296,-6.093052046910829
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2024-11,2024-11-29,560.2,-0.001977516880155128,-0.1977516880155128
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2024-12,2024-12-31,551.4,-0.01570867547304544,-1.5708675473045441
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2025-01,2025-01-31,538.34,-0.02368516503445761,-2.368516503445761
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2025-02,2025-02-28,504.49,-0.06287847828509863,-6.287847828509863
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2025-03,2025-03-31,538.7,0.06781105671073773,6.781105671073773
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2025-04,2025-04-30,560.17,0.03985520697976597,3.9855206979765967
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2025-05,2025-05-30,572.76,0.02247531999214525,2.247531999214525
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2025-06,2025-06-30,592.94,0.03523290732593076,3.5232907325930762
